Latitude,Longitude,Title,Poem
50.76380365,-3.448591232,Of Blue Remembered Streams,"Of blue remembered streams

Of Clyst moors developed dreams

Of pastures brown and forgotten lore

An adult born as a child blood and gore

Those that ought to protect and save

Did nought alone the boy must brave

All the world would throw at him

Striving his light would never dim



The endless fight a life through night

Never knowing a love that's right

The boy a man the man a boy

To her he stays simply a toy

A wish to find unending desire

That goes forever must he retire?

The boy that longs only to fly"
43.840491,18.3883667,Journey to Sarajevo,"After we crossed the border, at every stop
a serious looking man in overalls 
tapped the wheels with a long hammer,
listening for the thud of broken steel.

The warm air of late summer drifted
through the open carriage windows
and corridors where we stood and smoked,
gazing out at the distant hills.

We passed through villages and red-dust fields 
which were harvested with antique tools,
and saw medieval hayricks raised
with pitchforks behind farmyard walls.

When we stopped at a deserted station
everyone stepped out to walk and stretch;
beside a broken fence a man reached up
to pick wild cherries from a low hanging branch.

Then two young boys climbed into the tree,
twisting and breaking twigs and leaves,
and threw them down to the travellers
who gathered round with open hands.

After a long hour the train moved on 
and I looked back at the ruined tree
and at the empty station platform
covered in blood-red spit and cherry stones.   "
53.36135255,-6.053123474,Cauction to the Wind,"Caution to the Wind
The tide came in,
and you went out,
adrift in stormy seas,
floating with life or death.

Fearing, the next dark wave
could drag you deeper down,
to be washed up,
like driftwood.

Life, once somewhere else,
now, lost at sea,
sinks to the bottom.

A bitter wind blows,
angry and loud
masking nature’s way.

In darkness, there is light
that you must find yourself.

As bated breath,
paves a trusted path
from lonely waterfalls
and faded rainbows.

Know your depth,
stand your ground.
Rise above the wake.

In all the sea’s wild places
there is only calm,
above and below the storm,
at rest.
 
Turning tides,
stir a warm sea breeze
and clear blue skies.

Quite: The mighty roar.
Hear that friendly voice
that guides you home.

If, surrendered to the waves
be lost and gone forever.

But, dance with the tides,
sail the shallows, still.

Catch that friendly hand.

Seek new horizons.
Throw caution to the wind. "
40.70964774,-73.97094727,Freewheelin Bob Dylan,"As you passed in, I just passed out, 
with the last remains of our relationship 
in two plastic bags and the little red suitcase 
your mother gave us. 
The one with the broken zip.

I left blame and other stuff 
on the kitchen table, take it or leave it, 
whenever you’re able.
Do you remember the photograph we took? 
in New York City, 
when I told you, you made me feel like,
“Freewheelin” Bob Dylan”.

I’ll always remember that feeling.
So, you get to keep the photograph, 
I get to keep the feeling.

Bob Dylan doesn’t even know I am, 
he has better things to do.
But as long as I am, I’ll always love you.

If you think I forgot something, anything, 
don’t hesitate to call.
Or maybe now, 
your people will call my people, 
as people do. 
I might just pick up the phone 
just to talk with you.

I didn’t get to fix the fridge, 
the screwdriver is right beside the eggs. 
Get yourself a handyman, as handy as you can.
If you see Bob, give him my regards, 
but keep some regards for yourself.
Don’t forget, remember.
Remember, don’t forget

It wasn't just a photograph, 
it was all my dreams come true. 
And I thought we’d “freewheel” forever, 
just me, Bob Dylan, and you."
48.85746318,2.358841896,Tucked,"Into this one-sided booth
Hard to determine whether it’s built for one
Or for two to sit side by side
An awkward first date where you have to twist your neck
Look at a stranger from an intimate and ugly angle.

My chai tea takes me back to Paris
And drinking spicy chai with my cousin until we were sick
I’ve had too many coffees already today.

The booth, I realise,
Is exactly like the one I sat in
For the best falafel in the marais
On a lone trip to Paris"
50.28811417,-3.644516446,I Miss Singing Songs to the Sea,"Devon, 2020

I sing songs to the fish, 
no matter how deep they swim, actually, 
the deeper, the better. 
I sing to the grotesque faces of the deep sea fish, 
their teeth talons and their eyes huge. 
Maybe, just maybe, 
if I sing loud enough, they’ll hear me.

I sing songs to the bodies that lie at the bottom. 
Maybe they are remainders of war’s division, or 
maybe they just surrendered to her. 
They couldn’t resist her glitter and her pull;
they’re tugged to the bottom of her mass. 
I sing songs to these people.
I sing songs to those who are forgotten. 

Once, on an island in Scotland, 
I sung with my mother’s friend until we saw the seals, so 
still, I sing to the seals. 
My mother encourages me - she tells me that 
the louder I sing, the more will come, so
I sing until we leave the beach.
I will never stop singing to the sea.

I will never stop singing to you, my lover. 
I will stand among you, feel your water,
salty and fresh,
lap at my ankles and my knees and my thighs.
I will reach down and touch you, let your sediment roll between my fingers.

No matter how far away I am, 
I will never stop singing to the sea."
45.99151458,9.264172912,Como,"Como.
My Como.
In its own league of health and beauty.
Muse to Byron, Shelley, Verdi, Liszt,
A haven for the haves,
A dream for the have nots,
For now.
Centuries pass.
The plague of 1630, 
And the people of Bellagio harvest uninfected corn.
They share it with Varenna,
Rowing a mile or two across the lake,
To set it, warm and healthy,
On a large boulder at the harbour.
Then leave with their payment of coins
In a big jar of vinegar.
Here we are again.
My gin has arrived,
They set it on the large boulder in my garden -
Technology making jars and vinegar obsolete,
For now.
I descend from my turret,
Fetch my gin,
Take some air on the stone balcony
And get my exercise on the way back up.
I sip my gin,
Read my books
And contemplate the wonders of Como.
That is all I need,
For now."
44.95739916,-91.70288086,A good beginning,"It bothers me when people pronounce Justin Vernon’s moniker as Bon I-ver, when it’s actually derived from the French word hiver — meaning winter — he found the phrase in a magazine and simply liked the sound of it.

Never mind that it wasn’t a good winter for him — in fact, it sounded pretty miserable, self-exiled in a snowy cabin in Wisconsin, cut up over a breakup which inspired his platinum-selling For Emma, Forever Ago.

But maybe his was a good winter, in retrospect, financially speaking anyway; there are lots of stories of how bands get ideas for naming things — like themselves or their songs or their albums, often from what someone else said

         — like how Sigur Rós decided on what to call their second studio album when they played an early recording (of what would become the title track) to a friend, he simply said ágætis byrjun, meaning: it’s a good beginning.
"
50.78053362,-0.679693222,Summer vacation,"I want my holiday to be packed
with tales of salt rash and fingers
tasting of sun bloc 
that sting my worn-out eyes.
Upturned buckets hiding magic
surrounded by flummoxed moats.
Creased paperbacks and untold
forgotten stories. Long days that amble
like Bob Dylan songs. Nights that go
lickety-split, teeming
with anything they fancy. And memories
that will always live here.
"
52.1296819,-7.6169412,Back to Base,"The way back to where we were
Is a steep and rocky climb.
Like swallows, homeward bound,
We will soar and swoop,dip and dive,
As we struggle to survive and strive to find again
The essence of who we are.

But when, like waves,
We curl and crest and break onto the shore,
We will breathe a single sigh
And know that we have made it
Back to base."
54.59731902,-5.932877534,This Place,"In bygone days of yore, I used to love this place
Men of Ulster side by side, led and drawn by God’s Grace
Summertime brought cause for great colourful celebration
As we sought to preserve our faith, and our fledgling nation

Then 69 saw riots, in an effort to besiege
And from there came bomb and bullet pull us to our knees
But we’d reserve the right for our nation to defend
So our children from such attack would not then have to contend

'Neath the shroud of the foggy dew I used love this place
To swing the ash or kick a ball and then shake off the chase
The Ardscoil we would frequent for the Ceili dance
Where most would be more focused on finding some romance

But our cultural expression was sought to be repressed
Yet with those who’d fight our corner we were greatly blessed
Park swings tied up on Sunday’s and the vote denied us all
We stood up and were counted to answer freedom’s call

Shook to the core still, from when the times were wild
Tired & bitter, but resolute that I want better for my child
The good, the bad, the ugly all must be reconciled

I wish that they would disappear, the weary lines upon my face
In this time, and in this place

Bloody Sundays, Bloody Fridays, the week was painted red
We may often sit and wonder what might have been instead
Families torn apart and divisions ran true and deep
A legacy that steals any hope of quiet sleep

A time when everything for everyone was there to lose
Fates to be determined by the job or faith you choose
In our darkest moments we could see no reason or no rhyme
From the nightmare we must wake, there must come a better time

With arms laid down the jail doors opened, a bitter pill for some
But what rankles now will disappear as time whence we are from
The olive branches touch for which there is no disgrace
As all now take some stock and offer up some space

We must cherish those we’ve lost but extinguish the hate alone
For nothing can be carried that’s etched in heavy stone
To reach for the sky we must together shed the load
So future generations get the least that they are owed

We look to the future, from when the times were wild
For we both want what’s better, each for our own child
The good, the bad, the ugly will now be reconciled

A new course now is what we must, all together chase
In this time, and in this place"
54.60131729,-5.926437378,Regard for Cú Chulainn,"Two red hands grab the rope and pull from either side

For possession of Cú Chulainn is a matter of great pride

Thumbs in or out no matter both hold a steadfast grip

None likely to release the rope, or relent to any slip

Just as a young Setanta drove a sliotar at the hound

Later Cú Chulainn drove the Queen of Connacht’s army to the ground

Modern Ulaid often sees him dying on his feet

But as with every tallest mountain there’s a valley just as deep

All across the city Cú Chulainn has been seen

Not least where he’s stooped proudly facing north over High Green

But a hundred yards away is also his arena

As he has shone a light down over Glenalina

The image will prevail be the sky blue or grey

Just as he once stood down on Boundary Way

At the waking of the day, right from early dawn

The warrior makes his presence, perched over Glenbawn

Also front and centre as a beacon there to rule

He stands flanked and centred, elevated in Rathcoole

The day fades to night leaving only that seen for the moon

As Cú Chulainn rests with comrades on the wall in Lenadoon

While high and low both claim him, none can have him solely for their own

It’s in mutual regard for Cú Chulainn that seeds of peace are sown

And not to doubt where to the raven has now flown

For Cú Chulainn could emerge on the hammer or the bone"
-33.24062324,139.7228372,"A View, or Needle Boys","There is a crow
High in the sky

He croaks as he strokes
The wind with his wingtips

And an eye
Cocked like a gun

Slices down to earth and to us
Cunning
And curious
He sees, from above

Our hesitant shadows in the low low sun
Split
Running from our feet
But fixed to them

For a moment he wonders at such indecision

But then he forgets it too

He looks ahead, and

His shimmer of black back and body
Wingbeats away into a mountain made of stars
"
-22.264156,133.639367,A Dream of the Territory,"The land vitrifies with thirst.


A passing breeze has the strength to splinter stone

but not the motivation
It slithers by in its own sizzling apathy

Exhausted

Black trees and white rock boiling like water
roiling like flame


A drop of hard-won sweat works its way
down the creased and battered leather
landscape of a face and

Is gratefully consumed
By the waiting heat

Grabbed by long scorching fingers and
spirited into the shimmering air


Dust stirs

but half-heartedly


A cyan sky brims with acid

The sun stares lidlessly


Everything is turning into wind and sand and hotness

Charcoal without fire

Petrified men in crumbling boots
Stirring the earth but not

enough  

for it to care.
"
53.947478,-8.096923828,Bunbeg,"The wide, day-
        shining shore 
you painted

beams, the sun 
        sweeps in,
the wind is warm.

Peace is an island 
        lit by larks.  
Near the boat of sand 

are standing
        two sea-
spilled people, quiet, 

holding hands.
        Unlike to now:
when the nurse 

unslid the pallid 
        needle-tip 
from out your arm

the sky-green wave 
        at last caved in,
the window blacked, 

your sudden grip 
        slipped somewhere 
far away."
34.98813494,33.9944458,Home,"It is more than just a place. Where I grew up riding horses in crashing waves and sandy beaches and wind blowing through my salty hair. 

Where I stood and stared into the abyss of stars and galaxies in the midst of my antic adolescence. Hoping- praying for answers and solutions for this world we call ours.

Where I realised my mistakes were yet lessons in process, and my life a lingering theme of progress as if me myself is an open book for you all.

Where I learnt that you are your own best friend. That hardships of trusting ones other than yourself are not worth the pain and suffering. 

It’s where I never knew I needed to be. It taught me things I didn’t know I wanted.
It did more than I realised and far more than I deem myself capable of. 

So as I stood there with the sand between my toes and your fingers between mine- 
I knew what home meant.
Not just a place but the essence of sincere fulfilment-
And for that I thank you. "
54.56568326,-6.589042347,Rath,"I've dug out the track.
Endless nights
I have spent

Plugging away at the soul root


I find it contains multitudes
A pebble or stone

Becomes a find
Something to bite on
Amongst the confusion

Of the earth worms
I disturb their unfurling
Pink tendrils of ribbon

Swirling into my hands
I soak their soul
Into my veins, watching their tails

Snaking up my wrist.
I lost sight of my Watch
Years ago

I don't even know
If the metal almac
Still ticks

Under its cloak
Of caked rouge
And scarlet faces

Rather, I think
I don't care.
Either way--

The damp is seeping
Through my dress
Leaving a shadow

Dyed darkly
With the stains of blackberries
I've been working all winter

Underneath the
Shaded moonlight
But the path is pre-determined

"
46.60762638,-86.47974014,Sounding Fathoms,"I was four 
when I fell off 
my uncle’s fishing boat
on the shore of Lake Superior 

I still remember the sound of Gordon Lightfoot 
on the radio and the echo 
of my hands passing through the surface
where wavelets of sunlight swept over  
red sand and black mussel shells

My outstretched arms in blue-grey 
measured the breakers 
I mapped fathoms with stubby fingers

The distance in watery units
far from 
six foot ordinals

My body compressed itself against 
the pressure 
losing the light

Then a sudden release
the feeling of feathers
and my father’s large hands

The rush of sweet lake air "
52.648998,-9.64732,Death a View of the Shannon Estuary,"I will die in West Clare in the summer,
on a day I already remember, 
a day like today, when the sun will shine
on the distant mountains across the Shannon estuary 
after two days of incessant wind-blown rain
will have turned the unmown grass in the back field
into a sodden mesh of iridescent green
with the crows' white droppings not all washed away.

It will be a Tuesday, perhaps, before noon,
and the cows in the neighbour's field
will pause at the electric fence to watch
another relative's car sweep into the yard
past my Newfoundland dog who will jump to greet them,
and the undertaker's young assistant 
will turn to an exhausted wife and say,
""That's a nice view you have of the estuary.""

Soon there will come a day I will never remember
and a few, a very few, will never forget,
but, like a yacht on the Shannon estuary,
that memory will slowly drift away. Meanwhile 
I clear the brambles from between the trees
that I may stand beside the disused hay barn
with a clear view, now, of the estuary in sunlight,
and watch a yacht, in full sail, slowly drift away.

So: when and where and how we come to die
is rarely as we think it ought or might 
turn out to be according to what fears
or hopes or wishes we might have indulged. 
Instead, like that incident in the rose garden
when Death appeared and raised his broad black hat,
or like that dance of death in The Seventh Seal
composed of  rising, rough and unfamiliar steps,
we wait to meet what, one day, we and you and they find out.
"
17.98549692,102.5683594,A Vision of Your Saxon Grandmother in Laos," In the Talat Sao Shopping Centre in Vientiane, I see your Saxon 
Grandmother carrying a large tray of eggs. Oma disappears down
a tangle of small alleys, moving between market stalls selling fish, 
mobile phones, apricots and charcoal. I’m sure it’s her but I can’t 
find her again in the glare of the sunlight. I remember the first time 
you showed me an image of her, projected onto a Tipperary wall 
from your slide deck of old photos. She was reaching out from the
past to grab an egg that rolled from her table in the Ore Mountains. 
Years later, at the corner of my eye, I saw you as a boy in a Laos 
market reaching up to grab the outstretched old hands in front of you.
"
37.6,14.0154,Before We Were,"Before we were married
We dreamt together of one extravagant trip
We talked every day of the cities we might see
Rome and Florence and Venice
Of cobbled walkways and vineyards in the country side
I was meant to be there once a dozen years ago
At a friend’s destination wedding
But I met you and it was too soon
To invite you to an international destination
So I stayed home, stashed away my money
For our wedding because I knew
You were the one, the only one,
To ever make me want to be the best version of myself
And we talked of Italy so often
The place my grandfather was born
The origination of all the family recipes
I have seen the world in bits and pieces
Ireland for a semester and South Africa for a summer
And you have been south of the border
To Mexico, land of tequila and ill-gotten tattoos
Where you spoke more Spanish than me
Someday we will go to Sicily,
The place my grandfather was born
Where neither of us speaks the language
I make you promise to drive
Like you did around the perimeter of Ireland
On our only joint overseas adventure to date
You always fall ill on airplanes
But this time you won’t
We will arrive in good health
And stay in good health
Revitalized by red sauce and red wine
"
53.35111513,-6.283257008,Untitled,"First in shades of blue 
We watch your faintest pinks and reds 
Til all becomes black"
44.93397139,-93.26237468,GFS,"When I first went to George Floyd Square 
You could see the roadblock 
From far away.
A large sheet billowed in the wind  
Telling all who entered that this was a sacred space.

Murals littered the
Square, imploring its visitors
To say his name and all their names,
To demand justice
Not only for George, 
But for everyone who
Does not have a square 
That bears their name,
Whose city did not
Rise up after a police officer
Decided their life did not matter enough. 

The city does not like the square. 
They say it is not “safe.”
But what does it mean 
For something to be “safe?”
Who is it supposed to be “safe” for? 
It wasn’t safe for George. 

If it had been then it wouldn’t be 
George Floyd Square.

No, it is not “safe”
Because the community
Does not want 
The police there. 

They are forbidden in this
Square where they killed a man, 
Where a community now protects and 
Keeps each other safe. 
The city does not like this
Because it shows that
A world without police 
Is only impossible
Until it isn’t. "
40.34552527,-74.64119911,The Walt Whitman Birthplace Association,"‘fuck. how'd we even get here?’
i don’t know.
                    you slapped the wheel.

over the schuylkill?
                            through northerdawns & bleeding jetlag
    ,all that memory starch stiff between the sheets of
    hippocampal petrifaction–
    bridging: that’s                   then)&(now.

or maybe it was that lefthand turn back there at the gas station where the Mexican guy, buried in clothes, filled the tank for us as consequence of some government program I failed to comprehend, and then we hurtled down the Monmouth Road past the frightened trees and weatherbeat saltbox houses wilting at the intersection? … just a thought

it’s ~2&1/2 hour return,right?

just before our hopeless threepointturn
    & distill of the fluttering whiskey flakes
    filtered through sundown      

ran my fingers through my first bonewhite snowfall
light broken across the ribs of an  open  jersey plain

    we drank bitter coffee, & i fumbled through some
    recollections of Walden Pond -      
                                                    wedged between
    the concord turnpike & a thoughtful giftshop -              
so i could misquote what i'd read on the cape about
new clothes,new men,the bare spines of shipwrecks.

Seven years later you can’t escape the memorials of 
Philadelphia citystreets & that Princeton coffee, snow flurries 
& remembering how not to fear 
"
33.881866,-115.90065,WILLIAM ALLINGHAM PHOTOGRAPHS U2 IN ARIZONA,"Four ducks in the desert.
Each planned quack could shake the earth.
Why do I focus on each beak?
When they strut and preen
I add street-cred to the scene.
Unlike poetry, it's all so clean."
53.13113001,-9.714495572,Musical Yarns,"Spin a yarn, tell a tale,
weave together laughter and tears.
Strum the banjo; fine wires strung
like threads, toned, tuned and ready
for singers.

Skeins of cotton, silk and wool to
darn a sock and mend a rip. Simple
crochet to make bonnets and scarves,
granny squares for a warm shawl
To comfort

Stitches of purl and plain to make
moss and bobbles for country field or
a cobbled city street. Twists and
cables on the Aran jumper for the
Fisherman.

Strands of colourful fairisle,
warm wool of the Shetland sheep.
The spinning wheel working the tension,
a tempo with voice and pedalled foot, to sing a
Melody of yarns."
53.1254232,-9.032478333,Return to Oughtmama,"We will be light and unburdened
at the “breast of the high pass”
a mile from Corcomroe.
Yet, we will carry delicacies unbound
and a chequered cloth to spread.
And we will see them early on—
at the bend looking East;
Colman’s three churches 
below Turlough Hill.
They will not be veiled
by a skein of hazel,
nor astray in a labyrinth 
of hedged lanes and walls.
We will not lose our shoes
to the supping mire, 
nor tattoo our limbs red 
with Draighean spines.
But we’ll scramble over 
the karst with delight,
and find the marsh orchid 
reciting her wild purple poem,
and the spindly Whitethorn 
straining to hear 
chalk-notes on the breeze.
There will be no missed turns, 
no damp deriding maps.
When we return to Oughtmama, 
the journey will be wondrous.
"
